code,icao,ident,name,city,state,lat,lon,type,runways
LNA,KLNA,KLNA,Palm Beach County Park Airport,West Palm Beach,FL,26.59300041,-80.08509827,small_airport,3.0
FRY,KIZG,KIZG,Eastern Slopes Regional Airport,Fryeburg,ME,43.991100311299995,-70.9478988647,small_airport,1.0
JAS,KJAS,KJAS,Jasper County Airport Bell Field,Jasper,TX,30.8857,-94.034897,small_airport,1.0
GBG,KGBG,KGBG,Galesburg Regional HW Timmons  Airport,Galesburg,IL,40.938,-90.431099,small_airport,2.0
GBD,KGBD,KGBD,Great Bend Municipal Airport,Great Bend,KS,38.344299,-98.8592,small_airport,2.0
GAI,KGAI,KGAI,Montgomery County Airpark,Gaithersburg,MD,39.168301,-77.166,small_airport,1.0
GAG,KGAG,KGAG,Gage Heibeck Airport,Gage,OK,36.295502,-99.776398,small_airport,1.0
GAD,KGAD,KGAD,Northeast Alabama Regional Airport,Gadsden,AL,33.972599,-86.088996,small_airport,1.0
GAB,KGAB,KGAB,Gabbs Airport,Gabbs,NV,38.923173,-117.9572,small_airport,1.0
FYM,KFYM,KFYM,Fayetteville Municipal Airport,Fayetteville,TN,35.059700012200004,-86.5640029907,small_airport,1.0
GBR,KGBR,KGBR,Walter J. Koladza Airport,Great Barrington,MA,42.18420029,-73.40319824,small_airport,
FXY,KFXY,KFXY,Forest City Municipal Airport,Forest City,IA,43.23469925,-93.62409973,small_airport,1.0
FUL,KFUL,KFUL,Fullerton Municipal Airport,Fullerton,CA,33.8720016479,-117.980003357,small_airport,1.0
FMS,KFSW,KFSW,Fort Madison Municipal Airport,Fort Madison,IA,40.659113,-91.327763,small_airport,1.0
FSU,KFSU,KFSU,Fort Sumner Municipal Airport,Fort Sumner,NM,34.4833984375,-104.217002869,small_airport,2.0
FSK,KFSK,KFSK,Fort Scott Municipal Airport,Fort Scott,KS,37.7984008789,-94.7694015503,small_airport,1.0
FRR,KFRR,KFRR,Front Royal Warren County Airport,Front Royal,VA,38.9175,-78.253502,small_airport,1.0
FRM,KFRM,KFRM,Fairmont Municipal Airport,Fairmont,MN,43.643901825,-94.4156036377,small_airport,2.0
FRH,KFRH,KFRH,French Lick Municipal Airport,French Lick,IN,38.5061988831,-86.63690185550001,small_airport,1.0
FIL,KFOM,KFOM,Fillmore Municipal Airport,Fillmore,UT,38.95830154,-112.362999,small_airport,1.0
WFK,KFVE,KFVE,Northern Aroostook Regional Airport,Frenchville,ME,47.2854995728,-68.31279754639999,small_airport,1.0
JDA,KGCD,KGCD,Grant County Regional Airport / Ogilvie Field,John Day,OR,44.404202,-118.962997,small_airport,2.0
GCY,KGCY,KGCY,Greeneville Municipal Airport,Greeneville,TN,36.195648,-82.811482,small_airport,1.0
GDM,KGDM,KGDM,Gardner Municipal Airport,Gardner,MA,42.5499992371,-72.0160980225,small_airport,1.0
GRD,KGRD,KGRD,Greenwood County Airport,Greenwood,SC,34.248699,-82.159103,small_airport,1.0
GQQ,KGQQ,KGQQ,Galion Municipal Airport,Galion,OH,40.7533988953,-82.7238006592,small_airport,1.0
GPZ,KGPZ,KGPZ,Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids,MN,47.21110153,-93.50980377,small_airport,2.0
GOK,KGOK,KGOK,Guthrie-Edmond Regional Airport,Guthrie,OK,35.84980011,-97.41560364,small_airport,1.0
GNT,KGNT,KGNT,Grants-Milan Municipal Airport,Grants,NM,35.167301178,-107.902000427,small_airport,1.0
GNG,KGNG,KGNG,Gooding Municipal Airport,Gooding,ID,42.91719818,-114.7649994,small_airport,1.0
